TIME(unitless),BITDEP(ft),BLOCKCOMP(ft),DEP_RTN(ft),DEPTH(ft),FLOWIN(USgal/min),FLOWOUTPC(%),ROP_AVG(ft/h),DIFP(psi)
2018-07-25T23:00:01.0000000-06:00,4630.217,74.813,4627,4630.217,799.857,40.799,142.698,454.214
2018-07-25T23:00:03.0000000-06:00,4630.354,74.735,4627.5,4630.354,799.857,40.576,142.698,481.383
2018-07-25T23:00:05.0000000-06:00,4630.47,74.619,4627.5,4630.47,799.857,39.929,142.698,487.502
2018-07-25T23:00:07.0000000-06:00,4630.588,74.501,4627.5,4630.588,799.857,40.305,210.705,561.48
2018-07-25T23:00:09.0000000-06:00,4630.699,74.39,4627.5,4630.699,799.292,40.245,210.705,610.968
2018-07-25T23:00:11.0000000-06:00,4630.78,74.309,4627.5,4630.78,799.857,40.364,210.705,653.025
2018-07-25T23:00:13.0000000-06:00,4630.832,74.257,4628,4630.832,799.292,40.582,210.705,686.021
2018-07-25T23:00:15.0000000-06:00,4630.845,74.244,4628,4630.845,799.292,40.566,132.658,759.761
2018-07-25T23:00:17.0000000-06:00,4630.848,74.241,4628,4630.848,798.445,40.501,132.658,742.177
2018-07-25T23:00:19.0000000-06:00,4630.849,74.241,4628,4630.849,798.445,41.422,132.658,707.972
2018-07-25T23:00:21.0000000-06:00,4630.856,74.233,4628.5,4630.856,798.728,41.573,0,673.167
2018-07-25T23:00:23.0000000-06:00,4630.879,74.21,4628.5,4630.879,798.728,41.482,0,616.434
2018-07-25T23:00:25.0000000-06:00,4630.883,74.207,4628.5,4630.883,798.728,41.708,15.439,601.492
2018-07-25T23:00:27.0000000-06:00,4630.939,74.151,4628.5,4630.939,799.009,41.31,15.439,495.265
2018-07-25T23:00:29.0000000-06:00,4631.035,74.055,4629,4631.035,799.574,40.412,15.439,436.847
2018-07-25T23:00:31.0000000-06:00,4631.113,73.976,4629,4631.113,799.574,40.302,15.439,397.792
2018-07-25T23:00:33.0000000-06:00,4631.25,73.839,4629,4631.25,799.857,40.452,141.9,382.637
2018-07-25T23:00:35.0000000-06:00,4631.336,73.754,4629,4631.336,799.857,40.235,141.9,390.286
2018-07-25T23:00:37.0000000-06:00,4631.453,73.636,4629,4631.453,800.424,40.548,141.9,429.843
2018-07-25T23:00:39.0000000-06:00,4631.573,73.516,4629,4631.573,799.857,40.709,141.9,478.293
2018-07-25T23:00:41.0000000-06:00,4631.712,73.378,4629.5,4631.712,799.857,40.889,141.9,593.873
2018-07-25T23:00:43.0000000-06:00,4631.829,73.26,4629.5,4631.829,799.574,41.094,205.249,649.532
2018-07-25T23:00:45.0000000-06:00,4631.947,73.143,4629.5,4631.947,799.009,41.127,205.249,667.148
2018-07-25T23:00:47.0000000-06:00,4631.99,73.099,4629.5,4631.99,799.009,41.548,205.249,692.867
2018-07-25T23:00:49.0000000-06:00,4632.02,73.069,4629.5,4632.02,798.728,41.451,205.249,711.482
2018-07-25T23:00:51.0000000-06:00,4632.05,73.04,4629.5,4632.05,798.445,41.173,205.249,637.627
2018-07-25T23:00:53.0000000-06:00,4632.148,72.941,4629.5,4632.148,799.009,41.054,114.28,568.732
2018-07-25T23:00:55.0000000-06:00,4632.305,72.785,4629.5,4632.305,799.292,41.376,114.28,474.925
2018-07-25T23:00:57.0000000-06:00,4632.36,72.729,4629.5,4632.36,799.292,40.688,114.28,460.65
2018-07-25T23:00:59.0000000-06:00,4632.513,72.576,4630,4632.513,799.292,41.32,114.28,480.42
2018-07-25T23:01:01.0000000-06:00,4632.605,72.484,4630,4632.605,799.857,41.355,221.695,509.319
2018-07-25T23:01:03.0000000-06:00,4632.758,72.302,4630,4632.758,799.574,40.958,221.695,483.454
2018-07-25T23:01:05.0000000-06:00,4632.914,72.175,4630,4632.914,799.574,41.08,221.695,514.624
2018-07-25T23:01:07.0000000-06:00,4632.974,72.116,4630.5,4632.974,799.574,40.828,221.695,530.056
2018-07-25T23:01:09.0000000-06:00,4633.106,71.983,4630.5,4633.106,799.857,40.125,199.375,527.97
2018-07-25T23:01:11.0000000-06:00,4633.266,71.823,4630.5,4633.266,799.575,40.203,199.375,574.725
2018-07-25T23:01:13.0000000-06:00,4633.428,71.661,4630.5,4633.428,799.292,40.295,199.375,584.001
2018-07-25T23:01:15.0000000-06:00,4633.527,71.562,4630.5,4633.527,799.292,39.586,199.375,559.307
2018-07-25T23:01:17.0000000-06:00,4633.627,71.463,4630.5,4633.627,799.292,39.777,263.858,595.67
2018-07-25T23:01:19.0000000-06:00,4633.757,71.332,4630.5,4633.757,799.009,39.926,263.858,603.28
2018-07-25T23:01:21.0000000-06:00,4633.916,71.173,4630.5,4633.916,799.292,40.334,263.858,582.473
2018-07-25T23:01:23.0000000-06:00,4634.013,71.076,4630.5,4634.013,799.009,40.088,263.858,596.489
2018-07-25T23:01:25.0000000-06:00,4634.174,70.915,4630.5,4634.174,799.009,40.488,225.371,652.685
2018-07-25T23:01:27.0000000-06:00,4634.3,70.789,4630.5,4634.3,799.011,39.97,225.371,656.822
2018-07-25T23:01:29.0000000-06:00,4634.363,70.726,4630.5,4634.363,799.009,39.965,225.371,683.4
2018-07-25T23:01:31.0000000-06:00,4634.57,70.519,4631,4634.57,798.728,39.493,225.371,665.795
2018-07-25T23:01:33.0000000-06:00,4634.631,70.458,4631,4634.631,798.727,39.435,225.063,722.874
2018-07-25T23:01:35.0000000-06:00,4634.641,70.449,4631,4634.641,799.009,39.718,225.063,709.08
2018-07-25T23:01:37.0000000-06:00,4634.668,70.421,4631,4634.668,798.727,40.136,225.063,671.345
2018-07-25T23:01:39.0000000-06:00,4634.728,70.362,4631.5,4634.728,799.009,40.323,225.063,584.38
2018-07-25T23:01:41.0000000-06:00,4634.883,70.206,4631.5,4634.883,799.574,41.184,98.297,546.167
2018-07-25T23:01:43.0000000-06:00,4635.018,70.071,4631.5,4635.018,799.292,41.325,98.297,489.087
2018-07-25T23:01:45.0000000-06:00,4635.138,69.951,4631.5,4635.138,800.14,41.492,98.297,483.474
2018-07-25T23:01:47.0000000-06:00,4635.245,69.844,4631.5,4635.245,799.857,41.802,98.297,527.064
2018-07-25T23:01:49.0000000-06:00,4635.406,69.683,4632,4635.406,799.574,41.456,235.114,572.572
2018-07-25T23:01:51.0000000-06:00,4635.531,69.558,4632,4635.531,799.574,40.78,235.114,569.142
2018-07-25T23:01:53.0000000-06:00,4635.661,69.428,4632,4635.661,799.574,40.781,235.114,520.731
2018-07-25T23:01:55.0000000-06:00,4635.794,69.296,4632,4635.794,799.857,40.758,235.114,505.726
2018-07-25T23:01:57.0000000-06:00,4635.921,69.168,4632,4635.921,799.857,40.14,231.116,547.227
2018-07-25T23:01:59.0000000-06:00,4636.02,69.069,4632,4636.02,800.14,40.536,231.116,571.214
2018-07-25T23:02:01.0000000-06:00,4636.182,68.908,4632.5,4636.182,799.574,40.71,231.116,586.544
2018-07-25T23:02:03.0000000-06:00,4636.278,68.812,4632.5,4636.278,799.857,40.589,231.116,629.216
2018-07-25T23:02:05.0000000-06:00,4636.441,68.648,4632.5,4636.441,799.574,40.211,214.538,637.202
2018-07-25T23:02:07.0000000-06:00,4636.542,68.548,4632.5,4636.542,799.292,40.626,214.538,688.756
2018-07-25T23:02:09.0000000-06:00,4636.59,68.499,4633,4636.59,799.574,40.587,214.538,643.662
2018-07-25T23:02:11.0000000-06:00,4636.781,68.308,4633,4636.781,799.009,40.755,214.538,618.658
2018-07-25T23:02:13.0000000-06:00,4636.881,68.208,4633,4636.881,799.292,41.286,204.973,597.966
2018-07-25T23:02:15.0000000-06:00,4636.949,68.141,4633,4636.949,799.009,42.419,204.973,632.114
2018-07-25T23:02:17.0000000-06:00,4637.075,68.014,4633.5,4637.075,799.292,42.364,204.973,634.401
2018-07-25T23:02:19.0000000-06:00,4637.267,67.822,4633.5,4637.267,799.574,42.358,204.973,645.766
2018-07-25T23:02:21.0000000-06:00,4637.4,67.69,4633.5,4637.4,799.292,42.56,248.985,647.629
2018-07-25T23:02:23.0000000-06:00,4637.524,67.565,4633.5,4637.524,799.292,41.986,248.985,589.319
2018-07-25T23:02:25.0000000-06:00,4637.654,67.436,4634,4637.654,799.292,41.391,248.985,534.42
2018-07-25T23:02:27.0000000-06:00,4637.786,67.303,4634,4637.786,799.292,41.152,248.985,506.195
2018-07-25T23:02:29.0000000-06:00,4637.953,67.136,4634,4637.953,800.14,40.63,233.307,609.887
2018-07-25T23:02:31.0000000-06:00,4638.015,67.075,4634,4638.015,799.292,40.387,233.307,625.302
2018-07-25T23:02:33.0000000-06:00,4638.055,67.034,4634.5,4638.055,799.857,40.494,233.307,728.569
2018-07-25T23:02:35.0000000-06:00,4638.071,67.018,4634.5,4638.071,798.727,40.651,233.307,782.968
2018-07-25T23:02:37.0000000-06:00,4638.082,67.008,4634.5,4638.082,798.727,40.678,98.474,799.336
